phase,sample_index,time_s,gpu_power_w,cpu_power_w
cpu,0,0.000,17.007,-1.000
cpu,1,0.050,17.007,-1.000
cpu,2,0.100,16.999,-1.000
cpu,3,0.150,16.999,-1.000
cpu,4,0.200,16.996,-1.000
cpu,5,0.250,16.996,-1.000
cpu,6,0.300,16.983,-1.000
cpu,7,0.350,16.983,-1.000
cpu,8,0.400,16.975,-1.000
cpu,9,0.450,16.975,-1.000
cpu,10,0.500,16.975,-1.000
cpu,11,0.550,16.975,-1.000
cpu,12,0.600,16.975,-1.000
cpu,13,0.650,16.980,-1.000
cpu,14,0.700,16.980,-1.000
cpu,15,0.750,17.022,-1.000
cpu,16,0.800,17.022,-1.000
cpu,17,0.850,17.016,-1.000
cpu,18,0.900,17.016,-1.000
cpu,19,0.950,16.998,-1.000
cpu,20,1.000,16.998,-1.000
cpu,21,1.050,16.993,-1.000
cpu,22,1.100,16.993,-1.000
cpu,23,1.150,17.006,-1.000
cpu,24,1.200,17.020,-1.000
cpu,25,1.250,17.020,-1.000
cpu,26,1.300,17.049,-1.000
cpu,27,1.350,17.049,-1.000
cpu,28,1.400,17.072,-1.000
cpu,29,1.450,17.072,-1.000
cpu,30,1.500,17.079,-1.000
cpu,31,1.550,17.079,-1.000
cpu,32,1.600,17.086,-1.000
cpu,33,1.650,17.086,-1.000
cpu,34,1.700,17.094,-1.000
cpu,35,1.750,17.094,-1.000
cpu,36,1.800,17.100,-1.000
cpu,37,1.850,17.100,-1.000
cpu,38,1.900,17.119,-1.000
cpu,39,1.950,17.132,-1.000
cpu,40,2.000,17.132,-1.000
cpu,41,2.050,17.132,-1.000
cpu,42,2.100,17.132,-1.000
cpu,43,2.150,17.129,-1.000
cpu,44,2.200,17.129,-1.000
cpu,45,2.250,17.122,-1.000
cpu,46,2.300,17.122,-1.000
cpu,47,2.350,17.107,-1.000
cpu,48,2.400,17.107,-1.000
cpu,49,2.450,17.101,-1.000
cpu,50,2.500,17.101,-1.000
cpu,51,2.550,17.100,-1.000
cpu,52,2.600,17.104,-1.000
cpu,53,2.650,17.104,-1.000
cpu,54,2.700,17.109,-1.000
cpu,55,2.750,17.109,-1.000
cpu,56,2.800,17.109,-1.000
cpu,57,2.850,17.109,-1.000
cpu,58,2.900,17.100,-1.000
cpu,59,2.950,17.100,-1.000
cpu,60,3.000,17.102,-1.000
cpu,61,3.050,17.102,-1.000
cpu,62,3.100,17.110,-1.000
cpu,63,3.150,17.110,-1.000
cpu,64,3.200,17.110,-1.000
cpu,65,3.250,17.108,-1.000
cpu,66,3.300,17.108,-1.000
cpu,67,3.350,17.108,-1.000
cpu,68,3.400,17.108,-1.000
cpu,69,3.450,17.102,-1.000
cpu,70,3.500,17.102,-1.000
cpu,71,3.550,17.099,-1.000
cpu,72,3.600,17.099,-1.000
cpu,73,3.650,17.090,-1.000
cpu,74,3.700,17.090,-1.000
cpu,75,3.750,17.086,-1.000
cpu,76,3.800,17.086,-1.000
cpu,77,3.850,17.075,-1.000
cpu,78,3.900,17.080,-1.000
cpu,79,3.950,17.080,-1.000
cpu,80,4.000,17.072,-1.000
cpu,81,4.050,17.072,-1.000
cpu,82,4.100,17.071,-1.000
cpu,83,4.150,17.071,-1.000
cpu,84,4.200,17.084,-1.000
cpu,85,4.250,17.084,-1.000
cpu,86,4.300,17.095,-1.000
cpu,87,4.350,17.095,-1.000
cpu,88,4.400,17.104,-1.000
cpu,89,4.450,17.104,-1.000
cpu,90,4.500,17.119,-1.000
cpu,91,4.550,17.119,-1.000
